response_id,created_at,question,model,ticker,confidence_level,confidence_score,source_count,status,response_path,error_message
RAG_20260608T121640Z0000_0ed8a685,2026-06-08T12:16:40+00:00,What financial risks are mentioned in the available documents?,llama3.1:8b,,low,,5,error,data/rag_outputs/responses/RAG_20260608T121640Z0000_0ed8a685.json,"Ollama is not running at http://localhost:11434. Start it with `ollama serve` or open the Ollama app, then try again."
RAG_20260608T121723Z0000_0ed8a685,2026-06-08T12:17:23+00:00,What financial risks are mentioned in the available documents?,llama3.1:8b,,medium,0.69,5,success,data/rag_outputs/responses/RAG_20260608T121723Z0000_0ed8a685.json,
RAG_20260608T121732Z0000_0ed8a685,2026-06-08T12:17:32+00:00,What financial risks are mentioned in the available documents?,llama3.1:8b,,low,,5,error,data/rag_outputs/responses/RAG_20260608T121732Z0000_0ed8a685.json,"Ollama is not running at http://localhost:11434. Start it with `ollama serve` or open the Ollama app, then try again."
RAG_20260608T121757Z0000_0ed8a685,2026-06-08T12:17:57+00:00,What financial risks are mentioned in the available documents?,llama3.1:8b,,medium,0.69,5,success,data/rag_outputs/responses/RAG_20260608T121757Z0000_0ed8a685.json,
RAG_20260608T122106Z0000_0ed8a685,2026-06-08T12:21:06+00:00,What financial risks are mentioned in the available documents?,llama3.1:8b,,medium,0.69,5,success,data/rag_outputs/responses/RAG_20260608T122106Z0000_0ed8a685.json,
RAG_20260608T122543Z0000_0ed8a685,2026-06-08T12:25:43+00:00,What financial risks are mentioned in the available documents?,llama3.1:8b,,medium,0.69,5,success,data/rag_outputs/responses/RAG_20260608T122543Z0000_0ed8a685.json,
RAG_20260608T122607Z0000_0ed8a685,2026-06-08T12:26:07+00:00,What financial risks are mentioned in the available documents?,llama3.1:8b,,medium,0.69,5,success,data/rag_outputs/responses/RAG_20260608T122607Z0000_0ed8a685.json,
RAG_20260608T174228Z0000_40344ee4,2026-06-08T17:42:28+00:00,financial risk,llama3.1:8b,,low,0.0,0,insufficient_evidence,data/rag_outputs/responses/RAG_20260608T174228Z0000_40344ee4.json,
RAG_20260608T174228Z0000_9af934ab,2026-06-08T17:42:28+00:00,interest rate risk,llama3.1:8b,,low,0.0,5,error,data/rag_outputs/responses/RAG_20260608T174228Z0000_9af934ab.json,"Ollama is not running at http://localhost:11434. Start it with `ollama serve` or open the Ollama app, then try again."
RAG_20260609T081037Z0000_12f204c9,2026-06-09T08:10:37+00:00,What financial risks are mentioned in the documents?,llama3.1:8b,,medium,0.69,5,success,data/rag_outputs/responses/RAG_20260609T081037Z0000_12f204c9.json,
RAG_20260609T083528Z0000_0ed8a685,2026-06-09T08:35:28+00:00,What financial risks are mentioned in the available documents?,llama3.1:8b,,medium,0.69,5,success,data/rag_outputs/responses/RAG_20260609T083528Z0000_0ed8a685.json,
